timestamp,value,label
0,35,0
1,41,0
2,32,0
3,36,0
4,32,0
5,25,0
6,33,0
7,20,0
8,38,0
9,28,0
10,28,0
11,27,0
12,30,0
13,31,0
14,38,0
15,35,0
16,33,0
17,24,0
18,28,0
19,20,0
20,35,0
21,29,0
22,24,0
23,24,0
24,33,0
25,36,0
26,18,0
27,28,0
28,20,0
29,59,0
30,41,0
31,97,0
32,61,0
33,105,0
34,52,0
35,30,0
36,23,0
37,26,0
38,43,0
39,24,0
40,41,0
41,24,0
42,33,0
43,20,0
44,21,0
45,34,0
46,39,0
47,41,0
48,48,0
49,28,0
50,32,0
51,26,0
52,18,0
53,17,0
54,25,0
55,25,0
56,32,0
57,94,0
58,39,0
59,23,0
60,73,0
61,31,0
62,30,0
63,35,0
64,23,0
65,49,0
66,187,0
67,203,0
68,175,0
69,112,0
70,22,0
71,24,0
72,12,0
73,26,0
74,16,0
75,14,0
76,19,0
77,21,0
78,18,0
79,12,0
80,25,0
81,17,0
82,21,0
83,18,0
84,22,0
85,23,0
86,26,0
87,33,0
88,26,0
89,16,0
90,15,0
91,7,0
92,14,0
93,11,0
94,31,0
95,15,0
96,15,0
97,15,0
98,25,0
99,34,0
100,20,0
101,15,0
102,16,0
103,18,0
104,6,0
105,10,0
106,20,0
107,14,0
108,11,0
109,27,0
110,7,0
111,21,0
112,16,0
113,20,0
114,11,0
115,11,0
116,21,0
117,16,0
118,16,0
119,16,0
120,18,0
121,10,0
122,13,0
123,21,0
124,18,0
125,11,0
126,17,0
127,19,0
128,8,0
129,14,0
130,18,0
131,13,0
132,16,0
133,18,0
134,8,0
135,17,0
136,28,0
137,14,0
138,14,0
139,16,0
140,9,0
141,20,0
142,17,0
143,13,0
144,22,0
145,19,0
146,19,0
147,30,0
148,12,0
149,13,0
150,13,0
151,12,0
152,13,0
153,61,0
154,12,0
155,19,0
156,34,0
157,25,0
158,19,0
159,14,0
160,17,0
161,33,0
162,19,0
163,11,0
164,9,0
165,14,0
166,22,0
167,9,0
168,21,0
169,24,0
170,10,0
171,15,0
172,19,0
173,30,0
174,36,0
175,21,0
176,24,0
177,24,0
178,21,0
179,14,0
180,22,0
181,24,0
182,20,0
183,20,0
184,20,0
185,14,0
186,19,0
187,11,0
188,12,0
189,25,0
190,15,0
191,17,0
192,10,0
193,20,0
194,14,0
195,20,0
196,14,0
197,21,0
198,15,0
199,31,0
200,29,0
201,34,0
202,30,0
203,26,0
204,21,0
205,30,0
206,24,0
207,47,0
208,21,0
209,30,0
210,27,0
211,18,0
212,40,0
213,18,0
214,20,0
215,23,0
216,14,0
217,20,0
218,22,0
219,28,0
220,18,0
221,19,0
222,27,0
223,30,0
224,23,0
225,17,0
226,24,0
227,18,0
228,27,0
229,42,0
230,22,0
231,100,0
232,67,0
233,43,0
234,43,0
235,24,0
236,22,0
237,43,0
238,39,0
239,37,0
240,41,0
241,25,0
242,24,0
243,63,0
244,80,0
245,48,0
246,58,0
247,52,0
248,44,0
249,68,0
250,58,0
251,112,0
252,77,0
253,46,0
254,202,0
255,105,0
256,60,0
257,61,0
258,55,0
259,34,0
260,35,0
261,61,0
262,47,0
263,30,0
264,37,0
265,41,0
266,54,0
267,35,0
268,39,0
269,54,0
270,116,0
271,77,0
272,75,0
273,90,0
274,70,0
275,41,0
276,24,0
277,40,0
278,26,0
279,36,0
280,36,0
281,31,0
282,34,0
283,40,0
284,30,0
285,70,0
286,40,0
287,36,0
288,31,0
289,42,0
290,31,0
291,32,0
292,24,0
293,32,0
294,32,0
295,33,0
296,27,0
297,31,0
298,25,0
299,24,0
300,21,0
301,25,0
302,13,0
303,27,0
304,37,0
305,20,0
306,17,0
307,18,0
308,20,0
309,24,0
310,27,0
311,58,0
312,80,0
313,51,0
314,42,0
315,39,0
316,28,0
317,27,0
318,22,0
319,21,0
320,20,0
321,35,0
322,25,0
323,16,0
324,15,0
325,22,0
326,104,0
327,18,0
328,13,0
329,16,0
330,14,0
331,20,0
332,17,0
333,25,0
334,16,0
335,13,0
336,12,0
337,12,0
338,21,0
339,13,0
340,24,0
341,20,0
342,12,0
343,12,0
344,13,0
345,15,0
346,12,0
347,16,0
348,13,0
349,15,0
350,10,0
351,16,0
352,14,0
353,12,0
354,7,0
355,15,0
356,13,0
357,11,0
358,8,0
359,6,0
360,15,0
361,9,0
362,7,0
363,11,0
364,9,0
365,12,0
366,6,0
367,8,0
368,4,0
369,10,0
370,14,0
371,12,0
372,25,0
373,14,0
374,8,0
375,14,0
376,7,0
377,22,0
378,23,0
379,9,0
380,27,0
381,11,0
382,8,0
383,19,0
384,20,0
385,7,0
386,16,0
387,9,0
388,15,0
389,10,0
390,20,0
391,9,0
392,11,0
393,8,0
394,17,0
395,32,0
396,4,0
397,7,0
398,9,0
399,12,0
400,5,0
401,5,0
402,7,0
403,10,0
404,10,0
405,12,0
406,11,0
407,6,0
408,6,0
409,10,0
410,15,0
411,13,0
412,8,0
413,10,0
414,12,0
415,6,0
416,10,0
417,8,0
418,9,0
419,12,0
420,5,0
421,6,0
422,7,0
423,14,0
424,4,0
425,15,0
426,21,0
427,17,0
428,6,0
429,11,0
430,5,0
431,3,0
432,7,0
433,7,0
434,3,0
435,15,0
436,8,0
437,8,0
438,7,0
439,4,0
440,22,0
441,8,0
442,10,0
443,14,0
444,17,0
445,13,0
446,9,0
447,13,0
448,33,0
449,25,0
450,15,0
451,8,0
