timestamp,value,label
0,8,0
1,8,0
2,5,0
3,13,0
4,22,0
5,17,0
6,12,0
7,7,0
8,10,0
9,13,0
10,6,0
11,10,0
12,17,0
13,8,0
14,7,0
15,11,0
16,11,0
17,10,0
18,6,0
19,7,0
20,16,0
21,5,0
22,11,0
23,9,0
24,22,0
25,4,0
26,14,0
27,21,0
28,9,0
29,9,0
30,6,0
31,7,0
32,7,0
33,6,0
34,15,0
35,10,0
36,7,0
37,6,0
38,9,0
39,8,0
40,13,0
41,7,0
42,5,0
43,7,0
44,16,0
45,7,0
46,12,0
47,10,0
48,7,0
49,9,0
50,11,0
51,26,0
52,13,0
53,7,0
54,9,0
55,10,0
56,14,0
57,22,0
58,6,0
59,8,0
60,6,0
61,14,0
62,26,0
63,5,0
64,4,0
65,19,0
66,18,0
67,14,0
68,15,0
69,31,0
70,12,0
71,8,0
72,12,0
73,10,0
74,8,0
75,14,0
76,10,0
77,9,0
78,6,0
79,9,0
80,14,0
81,8,0
82,10,0
83,10,0
84,8,0
85,8,0
86,8,0
87,5,0
88,10,0
89,4,0
90,24,0
91,54,0
92,82,0
93,25,0
94,19,0
95,26,0
96,7,0
97,11,0
98,8,0
99,18,0
100,8,0
101,7,0
102,12,0
103,8,0
104,8,0
105,9,0
106,4,0
107,6,0
108,7,0
109,5,0
110,11,0
111,4,0
112,10,0
113,6,0
114,5,0
115,2,0
116,10,0
117,9,0
118,6,0
119,3,0
120,3,0
121,2,0
122,4,0
123,6,0
124,6,0
125,5,0
126,12,0
127,7,0
128,6,0
129,6,0
130,7,0
131,4,0
132,3,0
133,3,0
134,4,0
135,13,0
136,8,0
137,5,0
138,9,0
139,10,0
140,7,0
141,3,0
142,5,0
143,6,0
144,4,0
145,3,0
146,5,0
147,7,0
148,6,0
149,7,0
150,2,0
151,15,0
152,12,0
153,6,0
154,5,0
155,4,0
156,7,0
157,6,0
158,3,0
159,9,0
160,7,0
161,10,0
162,6,0
163,8,0
164,8,0
165,15,0
166,9,0
167,6,0
168,10,0
169,11,0
170,10,0
171,3,0
172,6,0
173,10,0
174,10,0
175,6,0
176,4,0
177,11,0
178,5,0
179,5,0
180,6,0
181,7,0
182,9,0
183,6,0
184,7,0
185,9,0
186,10,0
187,14,0
188,11,0
189,15,0
190,21,0
191,15,0
192,5,0
193,14,0
194,19,0
195,14,0
196,7,0
197,7,0
198,8,0
199,9,0
200,15,0
201,19,0
202,11,0
203,11,0
204,18,0
205,9,0
206,6,0
207,7,0
208,14,0
209,5,0
210,6,0
211,12,0
212,17,0
213,14,0
214,20,0
215,9,0
216,20,0
217,15,0
218,3,0
219,11,0
220,10,0
221,20,0
222,15,0
223,10,0
224,19,0
225,15,0
226,17,0
227,8,0
228,9,0
229,15,0
230,18,0
231,19,0
232,18,0
233,13,0
234,6,0
235,9,0
236,8,0
237,14,0
238,10,0
239,14,0
240,10,0
241,15,0
242,9,0
243,22,0
244,22,0
245,16,0
246,7,0
247,13,0
248,16,0
249,14,0
250,20,0
251,9,0
252,14,0
253,14,0
254,20,0
255,14,0
256,20,0
257,17,0
258,20,0
259,24,0
260,8,0
261,16,0
262,7,0
263,11,0
264,7,0
265,10,0
266,6,0
267,9,0
268,9,0
269,10,0
270,6,0
271,10,0
272,21,0
273,11,0
274,12,0
275,9,0
276,17,0
277,15,0
278,4,0
279,16,0
280,11,0
281,6,0
282,15,0
283,6,0
284,8,0
285,10,0
286,7,0
287,11,0
288,13,0
289,14,0
290,6,0
291,7,0
292,8,0
293,6,0
294,2,0
295,8,0
296,7,0
297,11,0
298,18,0
299,13,0
300,9,0
301,11,0
302,11,0
303,50,0
304,11,0
305,8,0
306,9,0
307,8,0
308,12,0
309,13,0
310,5,0
311,9,0
312,4,0
313,1,0
314,12,0
315,15,0
316,8,0
317,16,0
318,11,0
319,10,0
320,11,0
321,6,0
322,4,0
323,7,0
324,8,0
325,9,0
326,8,0
327,12,0
328,5,0
329,5,0
330,4,0
331,2,0
332,8,0
333,4,0
334,4,0
335,8,0
336,3,0
337,10,0
338,12,0
339,10,0
340,3,0
341,6,0
342,4,0
343,3,0
344,3,0
345,3,0
346,7,0
347,4,0
348,8,0
